Anio,Mes,Pais,Medio_Acceso_Predicho,Destino_Principal,Num_Turistas
2019,1,Noruega,Tren,Canarias,123
2019,1,Países Bajos,Aeropuerto,Baleares,272833
2019,1,Países Bajos,Carretera,Andalucía,32838
2019,1,Países Bajos,Puerto,Baleares,921
2019,1,Países Bajos,Tren,Canarias,307
2019,1,Polonia,Aeropuerto,Andalucía,106345
2019,1,Polonia,Carretera,Andalucía,7645
2019,1,Polonia,Puerto,Canarias,114
2019,1,Polonia,Tren,Canarias,0
2019,1,Portugal,Aeropuerto,Galicia,34799
2019,1,Portugal,Carretera,Castilla y León,165901
2019,1,Portugal,Puerto,Comunidad de Madrid,607
2019,1,Portugal,Tren,Comunidad de Madrid,1012
2019,1,Reino Unido,Aeropuerto,Cataluña,1447925
2019,1,Reino Unido,Carretera,Baleares,37511
2019,1,Reino Unido,Puerto,Baleares,12004
2019,1,Reino Unido,Tren,Baleares,1500
2019,1,República Checa,Aeropuerto,Cataluña,18730
2019,1,República Checa,Carretera,Cataluña,521
2019,1,República Checa,Puerto,Comunidad de Madrid,39
2019,1,República Checa,Tren,Cataluña,19
2019,1,Rusia,Aeropuerto,Comunidad Valenciana,53094
2019,1,Rusia,Carretera,Comunidad de Madrid,386
2019,1,Rusia,Puerto,Cataluña,1601
2019,1,Rusia,Tren,Comunidad Valenciana,110
2019,1,Suecia,Aeropuerto,Comunidad Valenciana,137765
2019,1,Suecia,Carretera,Comunidad Valenciana,3121
2019,1,Suecia,Puerto,Andalucía,709
2019,1,Suecia,Tren,Comunidad Valenciana,284
2019,1,Suiza,Aeropuerto,Comunidad Valenciana,84607
2019,1,Suiza,Carretera,Canarias,8951
2019,1,Suiza,Puerto,Baleares,283
2019,1,Suiza,Tren,Baleares,283
2019,2,Alemania,Aeropuerto,Baleares,530006
2019,2,Alemania,Carretera,Comunidad Valenciana,25663
2019,2,Alemania,Puerto,Canarias,1674
2019,2,Alemania,Tren,Canarias,558
2019,2,Argentina,Aeropuerto,Cataluña,38635
2019,2,Argentina,Carretera,Comunidad de Madrid,1967
2019,2,Argentina,Puerto,Cataluña,837
2019,2,Argentina,Tren,Comunidad de Madrid,419
2019,2,Austria,Aeropuerto,Cataluña,66865
2019,2,Austria,Carretera,Baleares,2011
2019,2,Austria,Puerto,Andalucía,416
2019,2,Austria,Tren,Cataluña,69
2019,2,Brasil,Aeropuerto,Cataluña,26021
2019,2,Brasil,Carretera,Cataluña,7144
2019,2,Brasil,Puerto,Comunidad de Madrid,1226
2019,2,Brasil,Tren,Cataluña,630
2019,2,Bélgica,Aeropuerto,Canarias,114140
2019,2,Bélgica,Carretera,Andalucía,15367
2019,2,Bélgica,Puerto,Comunidad Valenciana,1707
2019,2,Bélgica,Tren,Canarias,131
2019,2,Canadá,Aeropuerto,Cataluña,28068
2019,2,Canadá,Carretera,Baleares,2142
2019,2,Canadá,Puerto,Cataluña,1720
2019,2,Canadá,Tren,Cataluña,519
2019,2,China,Aeropuerto,Cataluña,47498
2019,2,China,Carretera,Comunidad de Madrid,5083
2019,2,China,Puerto,Andalucía,1694
2019,2,China,Tren,Andalucía,383
2019,2,Corea del Sur,Aeropuerto,Comunidad de Madrid,41034
2019,2,Corea del Sur,Carretera,Cataluña,7331
2019,2,Corea del Sur,Puerto,Comunidad de Madrid,541
2019,2,Corea del Sur,Tren,Comunidad de Madrid,344
2019,2,Dinamarca,Aeropuerto,Baleares,68143
2019,2,Dinamarca,Carretera,Canarias,1255
2019,2,Dinamarca,Puerto,Cataluña,279
2019,2,Dinamarca,Tren,Comunidad Valenciana,70
2019,2,EE.UU.,Aeropuerto,Comunidad de Madrid,134358
2019,2,EE.UU.,Carretera,Andalucía,5087
2019,2,EE.UU.,Puerto,Andalucía,8528
2019,2,EE.UU.,Tren,Comunidad de Madrid,1646
2019,2,Finlandia,Aeropuerto,Canarias,62382
2019,2,Finlandia,Carretera,Andalucía,760
2019,2,Finlandia,Puerto,Andalucía,63
2019,2,Finlandia,Tren,Comunidad Valenciana,63
2019,2,Francia,Aeropuerto,Cataluña,309216
2019,2,Francia,Carretera,Comunidad Valenciana,589647
2019,2,Francia,Puerto,Cataluña,16714
2019,2,Francia,Tren,Comunidad Valenciana,13000
2019,2,Irlanda,Aeropuerto,Cataluña,178128
2019,2,Irlanda,Carretera,Andalucía,1814
2019,2,Irlanda,Puerto,Baleares,1451
2019,2,Irlanda,Tren,Comunidad Valenciana,0
2019,2,Italia,Aeropuerto,Baleares,349396
2019,2,Italia,Carretera,Comunidad de Madrid,17753
2019,2,Italia,Puerto,Cataluña,10199
2019,2,Italia,Tren,Comunidad de Madrid,378
2019,2,Japón,Aeropuerto,Cataluña,47699
2019,2,Japón,Carretera,Andalucía,7395
2019,2,Japón,Puerto,Cataluña,1129
2019,2,Japón,Tren,Cataluña,282
2019,2,Luxemburgo,Aeropuerto,Cataluña,14231
2019,2,Luxemburgo,Carretera,Canarias,1713
2019,2,Luxemburgo,Puerto,Canarias,16
2019,2,Luxemburgo,Tren,Cataluña,48
2019,2,México,Aeropuerto,Comunidad de Madrid,46608
2019,2,México,Carretera,Cataluña,697
2019,2,México,Puerto,Andalucía,2091
2019,2,México,Tren,Comunidad de Madrid,398
2019,2,Noruega,Aeropuerto,Comunidad Valenciana,120270
2019,2,Noruega,Carretera,Canarias,2220
2019,2,Noruega,Puerto,Comunidad Valenciana,740
2019,2,Noruega,Tren,Andalucía,123
2019,2,Países Bajos,Aeropuerto,Canarias,272833
2019,2,Países Bajos,Carretera,Cataluña,32838
2019,2,Países Bajos,Puerto,Cataluña,921
2019,2,Países Bajos,Tren,Canarias,307
2019,2,Polonia,Aeropuerto,Baleares,106345
2019,2,Polonia,Carretera,Canarias,7645
2019,2,Polonia,Puerto,Baleares,114
2019,2,Polonia,Tren,Andalucía,0
2019,2,Portugal,Aeropuerto,Castilla y León,34799
2019,2,Portugal,Carretera,Galicia,165901
2019,2,Portugal,Puerto,Castilla y León,607
2019,2,Portugal,Tren,Extremadura,1012
2019,2,Reino Unido,Aeropuerto,Comunidad Valenciana,1447925
2019,2,Reino Unido,Carretera,Cataluña,37511
2019,2,Reino Unido,Puerto,Baleares,12004
2019,2,Reino Unido,Tren,Baleares,1500
2019,2,República Checa,Aeropuerto,Andalucía,20067
2019,2,República Checa,Carretera,Cataluña,559
2019,2,República Checa,Puerto,Cataluña,41
2019,2,República Checa,Tren,Baleares,21
2019,2,Rusia,Aeropuerto,Comunidad Valenciana,60679
2019,2,Rusia,Carretera,Cataluña,442
2019,2,Rusia,Puerto,Baleares,1829
2019,2,Rusia,Tren,Cataluña,126
2019,2,Suecia,Aeropuerto,Comunidad Valenciana,111427
2019,2,Suecia,Carretera,Canarias,2525
2019,2,Suecia,Puerto,Baleares,574
2019,2,Suecia,Tren,Baleares,230
2019,2,Suiza,Aeropuerto,Baleares,89488
2019,2,Suiza,Carretera,Cataluña,9467
2019,2,Suiza,Puerto,Comunidad Valenciana,299
2019,2,Suiza,Tren,Baleares,299
2019,3,Alemania,Aeropuerto,Andalucía,657207
2019,3,Alemania,Carretera,Baleares,31823
2019,3,Alemania,Puerto,Andalucía,2075
2019,3,Alemania,Tren,Andalucía,692
2019,3,Argentina,Aeropuerto,Comunidad de Madrid,41300
2019,3,Argentina,Carretera,Andalucía,2103
2019,3,Argentina,Puerto,Cataluña,895
2019,3,Argentina,Tren,Comunidad de Madrid,447
2019,3,Austria,Aeropuerto,Andalucía,71477
2019,3,Austria,Carretera,Cataluña,2150
2019,3,Austria,Puerto,Andalucía,445
2019,3,Austria,Tren,Cataluña,74
2019,3,Brasil,Aeropuerto,Comunidad de Madrid,36932
2019,3,Brasil,Carretera,Cataluña,10140
2019,3,Brasil,Puerto,Comunidad de Madrid,1740
2019,3,Brasil,Tren,Galicia,895
2019,3,Bélgica,Aeropuerto,Andalucía,149259
2019,3,Bélgica,Carretera,Canarias,20096
2019,3,Bélgica,Puerto,Canarias,2233
2019,3,Bélgica,Tren,Andalucía,172
2019,3,Canadá,Aeropuerto,Cataluña,38203
2019,3,Canadá,Carretera,Comunidad de Madrid,2915
2019,3,Canadá,Puerto,Cataluña,2341
2019,3,Canadá,Tren,Andalucía,707
2019,3,China,Aeropuerto,Comunidad de Madrid,39582
2019,3,China,Carretera,Cataluña,4236
2019,3,China,Puerto,Comunidad de Madrid,1412
2019,3,China,Tren,Comunidad de Madrid,319
2019,3,Corea del Sur,Aeropuerto,Comunidad de Madrid,43139
2019,3,Corea del Sur,Carretera,Cataluña,7707
2019,3,Corea del Sur,Puerto,Cataluña,569
2019,3,Corea del Sur,Tren,Cataluña,362
2019,3,Dinamarca,Aeropuerto,Canarias,84591
2019,3,Dinamarca,Carretera,Cataluña,1558
2019,3,Dinamarca,Puerto,Canarias,346
2019,3,Dinamarca,Tren,Andalucía,87
2019,3,EE.UU.,Aeropuerto,Cataluña,214973
2019,3,EE.UU.,Carretera,Cataluña,8139
2019,3,EE.UU.,Puerto,Andalucía,13645
2019,3,EE.UU.,Tren,Cataluña,2633
2019,3,Finlandia,Aeropuerto,Andalucía,62382
2019,3,Finlandia,Carretera,Andalucía,760
2019,3,Finlandia,Puerto,Andalucía,63
2019,3,Finlandia,Tren,Canarias,63
2019,3,Francia,Aeropuerto,País Vasco,309216
2019,3,Francia,Carretera,Cataluña,589647
2019,3,Francia,Puerto,Cataluña,16714
2019,3,Francia,Tren,Cataluña,13000
2019,3,Irlanda,Aeropuerto,Canarias,178128
2019,3,Irlanda,Carretera,Cataluña,1814
2019,3,Irlanda,Puerto,Canarias,1451
2019,3,Irlanda,Tren,Cataluña,0
2019,3,Italia,Aeropuerto,Comunidad de Madrid,349396
2019,3,Italia,Carretera,Comunidad de Madrid,17753
2019,3,Italia,Puerto,Comunidad Valenciana,10199
2019,3,Italia,Tren,Comunidad Valenciana,378
2019,3,Japón,Aeropuerto,Comunidad de Madrid,47699
2019,3,Japón,Carretera,Comunidad de Madrid,7395
2019,3,Japón,Puerto,Comunidad de Madrid,1129
2019,3,Japón,Tren,Comunidad de Madrid,282
2019,3,Luxemburgo,Aeropuerto,Cataluña,14231
2019,3,Luxemburgo,Carretera,Comunidad de Madrid,1713
2019,3,Luxemburgo,Puerto,Comunidad de Madrid,16
2019,3,Luxemburgo,Tren,Andalucía,48
2019,3,México,Aeropuerto,Cataluña,46608
2019,3,México,Carretera,Comunidad de Madrid,697
2019,3,México,Puerto,Comunidad de Madrid,2091
2019,3,México,Tren,Comunidad de Madrid,398
2019,3,Noruega,Aeropuerto,Comunidad Valenciana,120270
2019,3,Noruega,Carretera,Canarias,2220
2019,3,Noruega,Puerto,Comunidad Valenciana,740
2019,3,Noruega,Tren,Andalucía,123
2019,3,Países Bajos,Aeropuerto,Cataluña,272833
2019,3,Países Bajos,Carretera,Canarias,32838
2019,3,Países Bajos,Puerto,Canarias,921
2019,3,Países Bajos,Tren,Canarias,307
2019,3,Polonia,Aeropuerto,Cataluña,106345
2019,3,Polonia,Carretera,Cataluña,7645
2019,3,Polonia,Puerto,Cataluña,114
2019,3,Polonia,Tren,Andalucía,0
2019,3,Portugal,Aeropuerto,Comunidad de Madrid,34799
2019,3,Portugal,Carretera,Comunidad de Madrid,165901
2019,3,Portugal,Puerto,Andalucía,607
2019,3,Portugal,Tren,Galicia,1012
2019,3,Reino Unido,Aeropuerto,Baleares,1447925
2019,3,Reino Unido,Carretera,Baleares,37511
2019,3,Reino Unido,Puerto,Baleares,12004
2019,3,Reino Unido,Tren,Canarias,1500
2019,3,República Checa,Aeropuerto,Cataluña,30323
2019,3,República Checa,Carretera,Baleares,844
2019,3,República Checa,Puerto,Cataluña,63
2019,3,República Checa,Tren,Andalucía,31
2019,3,Rusia,Aeropuerto,Comunidad de Madrid,73321
2019,3,Rusia,Carretera,Comunidad de Madrid,534
2019,3,Rusia,Puerto,Comunidad Valenciana,2210
2019,3,Rusia,Tren,Cataluña,152
2019,3,Suecia,Aeropuerto,Andalucía,145868
2019,3,Suecia,Carretera,Canarias,3305
2019,3,Suecia,Puerto,Canarias,751
2019,3,Suecia,Tren,Canarias,300
2019,3,Suiza,Aeropuerto,Baleares,110640
2019,3,Suiza,Carretera,Comunidad Valenciana,11705
2019,3,Suiza,Puerto,Comunidad Valenciana,370
2019,3,Suiza,Tren,Comunidad Valenciana,370
2019,4,Alemania,Aeropuerto,Baleares,901010
2019,4,Alemania,Carretera,Canarias,43628
2019,4,Alemania,Puerto,Baleares,2845
2019,4,Alemania,Tren,Baleares,948
2019,4,Argentina,Aeropuerto,Cataluña,49959
2019,4,Argentina,Carretera,Comunidad de Madrid,2544
2019,4,Argentina,Puerto,Andalucía,1083
2019,4,Argentina,Tren,Baleares,541
2019,4,Austria,Aeropuerto,Baleares,86464
2019,4,Austria,Carretera,Andalucía,2601
2019,4,Austria,Puerto,Cataluña,538
2019,4,Austria,Tren,Baleares,90
2019,4,Brasil,Aeropuerto,Comunidad de Madrid,27280
2019,4,Brasil,Carretera,Galicia,7490
2019,4,Brasil,Puerto,Comunidad de Madrid,1285
2019,4,Brasil,Tren,Galicia,661
2019,4,Bélgica,Aeropuerto,Cataluña,164625
2019,4,Bélgica,Carretera,Comunidad Valenciana,22165
2019,4,Bélgica,Puerto,Canarias,2463
2019,4,Bélgica,Tren,Canarias,189
2019,4,Canadá,Aeropuerto,Cataluña,39762
2019,4,Canadá,Carretera,Comunidad de Madrid,3034
2019,4,Canadá,Puerto,Cataluña,2436
2019,4,Canadá,Tren,Comunidad de Madrid,735
2019,4,China,Aeropuerto,Comunidad de Madrid,43845
2019,4,China,Carretera,Cataluña,4692
2019,4,China,Puerto,Comunidad de Madrid,1564
2019,4,China,Tren,Cataluña,353
2019,4,Corea del Sur,Aeropuerto,Comunidad de Madrid,46295
2019,4,Corea del Sur,Carretera,Comunidad de Madrid,8271
2019,4,Corea del Sur,Puerto,Comunidad de Madrid,611
2019,4,Corea del Sur,Tren,Cataluña,389
2019,4,Dinamarca,Aeropuerto,Baleares,99864
2019,4,Dinamarca,Carretera,Canarias,1840
2019,4,Dinamarca,Puerto,Canarias,409
2019,4,Dinamarca,Tren,Baleares,102
2019,4,EE.UU.,Aeropuerto,Cataluña,232887
2019,4,EE.UU.,Carretera,Comunidad de Madrid,8818
2019,4,EE.UU.,Puerto,Cataluña,14782
2019,4,EE.UU.,Tren,Comunidad de Madrid,2853
2019,4,Finlandia,Aeropuerto,Canarias,62382
2019,4,Finlandia,Carretera,Comunidad Valenciana,760
2019,4,Finlandia,Puerto,Cataluña,63
2019,4,Finlandia,Tren,Canarias,63
2019,4,Francia,Aeropuerto,Comunidad Valenciana,309216
2019,4,Francia,Carretera,Comunidad Valenciana,589647
2019,4,Francia,Puerto,Cataluña,16714
2019,4,Francia,Tren,Cataluña,13000
2019,4,Irlanda,Aeropuerto,Cataluña,178128
2019,4,Irlanda,Carretera,Andalucía,1814
2019,4,Irlanda,Puerto,Canarias,1451
2019,4,Irlanda,Tren,Canarias,0
2019,4,Italia,Aeropuerto,Cataluña,349396
2019,4,Italia,Carretera,Cataluña,17753
2019,4,Italia,Puerto,Andalucía,10199
2019,4,Italia,Tren,Cataluña,378
2019,4,Japón,Aeropuerto,Cataluña,47699
2019,4,Japón,Carretera,Comunidad de Madrid,7395
2019,4,Japón,Puerto,Comunidad de Madrid,1129
2019,4,Japón,Tren,Cataluña,282
2019,4,Luxemburgo,Aeropuerto,Canarias,14231
2019,4,Luxemburgo,Carretera,Cataluña,1713
2019,4,Luxemburgo,Puerto,Cataluña,16
2019,4,Luxemburgo,Tren,Comunidad de Madrid,48
2019,4,México,Aeropuerto,Comunidad de Madrid,46608
2019,4,México,Carretera,Comunidad de Madrid,697
2019,4,México,Puerto,Comunidad de Madrid,2091
2019,4,México,Tren,Comunidad de Madrid,398
2019,4,Noruega,Aeropuerto,Canarias,120270
2019,4,Noruega,Carretera,Andalucía,2220
2019,4,Noruega,Puerto,Canarias,740
2019,4,Noruega,Tren,Canarias,123
2019,4,Países Bajos,Aeropuerto,Baleares,272833
2019,4,Países Bajos,Carretera,Andalucía,32838
2019,4,Países Bajos,Puerto,Canarias,921
2019,4,Países Bajos,Tren,Baleares,307
2019,4,Polonia,Aeropuerto,Baleares,106345
2019,4,Polonia,Carretera,Andalucía,7645
2019,4,Polonia,Puerto,Baleares,114
2019,4,Polonia,Tren,Canarias,0
2019,4,Portugal,Aeropuerto,Comunidad de Madrid,34799
2019,4,Portugal,Carretera,Andalucía,165901
2019,4,Portugal,Puerto,Galicia,607
2019,4,Portugal,Tren,Extremadura,1012
2019,4,Reino Unido,Aeropuerto,Comunidad Valenciana,1447925
2019,4,Reino Unido,Carretera,Canarias,37511
2019,4,Reino Unido,Puerto,Cataluña,12004
2019,4,Reino Unido,Tren,Andalucía,1500
2019,4,República Checa,Aeropuerto,Cataluña,37905
2019,4,República Checa,Carretera,Baleares,1055
2019,4,República Checa,Puerto,Cataluña,78
2019,4,República Checa,Tren,Andalucía,39
2019,4,Rusia,Aeropuerto,Comunidad de Madrid,78377
2019,4,Rusia,Carretera,Comunidad de Madrid,570
2019,4,Rusia,Puerto,Cataluña,2363
2019,4,Rusia,Tren,Baleares,163
2019,4,Suecia,Aeropuerto,Andalucía,151946
2019,4,Suecia,Carretera,Baleares,3443
2019,4,Suecia,Puerto,Cataluña,782
2019,4,Suecia,Tren,Comunidad Valenciana,313
2019,4,Suiza,Aeropuerto,Baleares,133419
2019,4,Suiza,Carretera,Cataluña,14114
2019,4,Suiza,Puerto,Andalucía,446
2019,4,Suiza,Tren,Canarias,446
2019,5,Alemania,Aeropuerto,Comunidad Valenciana,1038812
2019,5,Alemania,Carretera,Cataluña,50300
2019,5,Alemania,Puerto,Cataluña,3280
2019,5,Alemania,Tren,Canarias,1093
2019,5,Argentina,Aeropuerto,Andalucía,54622
2019,5,Argentina,Carretera,Comunidad de Madrid,2781
2019,5,Argentina,Puerto,Comunidad de Madrid,1184
2019,5,Argentina,Tren,Cataluña,592
2019,5,Austria,Aeropuerto,Cataluña,94534
2019,5,Austria,Carretera,Andalucía,2844
2019,5,Austria,Puerto,Cataluña,588
2019,5,Austria,Tren,Comunidad Valenciana,98
2019,5,Brasil,Aeropuerto,Cataluña,34414
2019,5,Brasil,Carretera,Cataluña,9449
2019,5,Brasil,Puerto,Comunidad de Madrid,1621
2019,5,Brasil,Tren,Comunidad de Madrid,834
2019,5,Bélgica,Aeropuerto,Cataluña,215110
2019,5,Bélgica,Carretera,Comunidad Valenciana,28962
2019,5,Bélgica,Puerto,Andalucía,3218
2019,5,Bélgica,Tren,Canarias,248
2019,5,Canadá,Aeropuerto,Cataluña,40932
2019,5,Canadá,Carretera,Cataluña,3123
2019,5,Canadá,Puerto,Cataluña,2508
2019,5,Canadá,Tren,Andalucía,757
2019,5,China,Aeropuerto,Comunidad de Madrid,51761
2019,5,China,Carretera,Comunidad de Madrid,5539
2019,5,China,Puerto,Cataluña,1846
2019,5,China,Tren,Cataluña,417
2019,5,Corea del Sur,Aeropuerto,Comunidad de Madrid,49978
2019,5,Corea del Sur,Carretera,Cataluña,8929
2019,5,Corea del Sur,Puerto,Cataluña,659
2019,5,Corea del Sur,Tren,Cataluña,419
2019,5,Dinamarca,Aeropuerto,Comunidad Valenciana,103388
2019,5,Dinamarca,Carretera,Andalucía,1905
2019,5,Dinamarca,Puerto,Andalucía,423
2019,5,Dinamarca,Tren,Cataluña,106
2019,5,EE.UU.,Aeropuerto,Andalucía,304545
2019,5,EE.UU.,Carretera,Cataluña,11531
2019,5,EE.UU.,Puerto,Cataluña,19331
2019,5,EE.UU.,Tren,Cataluña,3731
2019,5,Finlandia,Aeropuerto,Andalucía,62382
2019,5,Finlandia,Carretera,Andalucía,760
2019,5,Finlandia,Puerto,Andalucía,63
2019,5,Finlandia,Tren,Canarias,63
2019,5,Francia,Aeropuerto,Comunidad Valenciana,309216
2019,5,Francia,Carretera,Baleares,589647
2019,5,Francia,Puerto,Comunidad Valenciana,16714
2019,5,Francia,Tren,Cataluña,13000
2019,5,Irlanda,Aeropuerto,Cataluña,178128
2019,5,Irlanda,Carretera,Comunidad Valenciana,1814
2019,5,Irlanda,Puerto,Cataluña,1451
2019,5,Irlanda,Tren,Canarias,0
2019,5,Italia,Aeropuerto,Cataluña,349396
2019,5,Italia,Carretera,Cataluña,17753
2019,5,Italia,Puerto,Cataluña,10199
2019,5,Italia,Tren,Andalucía,378
2019,5,Japón,Aeropuerto,Comunidad de Madrid,47699
2019,5,Japón,Carretera,Cataluña,7395
2019,5,Japón,Puerto,Cataluña,1129
2019,5,Japón,Tren,Cataluña,282
2019,5,Luxemburgo,Aeropuerto,Comunidad de Madrid,14231
2019,5,Luxemburgo,Carretera,Baleares,1713
2019,5,Luxemburgo,Puerto,Cataluña,16
2019,5,Luxemburgo,Tren,Canarias,48
2019,5,México,Aeropuerto,Cataluña,46608
2019,5,México,Carretera,Comunidad de Madrid,697
2019,5,México,Puerto,Comunidad de Madrid,2091
2019,5,México,Tren,Comunidad de Madrid,398
2019,5,Noruega,Aeropuerto,Canarias,120270
2019,5,Noruega,Carretera,Canarias,2220
2019,5,Noruega,Puerto,Baleares,740
2019,5,Noruega,Tren,Baleares,123
2019,5,Países Bajos,Aeropuerto,Comunidad Valenciana,272833
2019,5,Países Bajos,Carretera,Andalucía,32838
2019,5,Países Bajos,Puerto,Andalucía,921
2019,5,Países Bajos,Tren,Comunidad Valenciana,307
2019,5,Polonia,Aeropuerto,Canarias,106345
2019,5,Polonia,Carretera,Andalucía,7645
2019,5,Polonia,Puerto,Cataluña,114
2019,5,Polonia,Tren,Cataluña,0
2019,5,Portugal,Aeropuerto,Andalucía,34799
2019,5,Portugal,Carretera,Andalucía,165901
2019,5,Portugal,Puerto,Castilla y León,607
2019,5,Portugal,Tren,Galicia,1012
2019,5,Reino Unido,Aeropuerto,Cataluña,1447925
2019,5,Reino Unido,Carretera,Cataluña,37511
2019,5,Reino Unido,Puerto,Canarias,12004
2019,5,Reino Unido,Tren,Baleares,1500
2019,5,República Checa,Aeropuerto,Cataluña,45485
2019,5,República Checa,Carretera,Cataluña,1266
2019,5,República Checa,Puerto,Baleares,94
2019,5,República Checa,Tren,Comunidad de Madrid,47
2019,5,Rusia,Aeropuerto,Baleares,116301
2019,5,Rusia,Carretera,Cataluña,846
2019,5,Rusia,Puerto,Baleares,3506
2019,5,Rusia,Tren,Baleares,242
2019,5,Suecia,Aeropuerto,Cataluña,166127
2019,5,Suecia,Carretera,Canarias,3764
2019,5,Suecia,Puerto,Andalucía,855
2019,5,Suecia,Tren,Canarias,342
2019,5,Suiza,Aeropuerto,Cataluña,154570
2019,5,Suiza,Carretera,Baleares,16352
2019,5,Suiza,Puerto,Andalucía,516
2019,5,Suiza,Tren,Andalucía,516
2019,6,Alemania,Aeropuerto,Baleares,1113012
2019,6,Alemania,Carretera,Cataluña,53893
2019,6,Alemania,Puerto,Canarias,3515
2019,6,Alemania,Tren,Baleares,1172
2019,6,Argentina,Aeropuerto,Comunidad de Madrid,83266
2019,6,Argentina,Carretera,Cataluña,4240
2019,6,Argentina,Puerto,Comunidad de Madrid,1804
2019,6,Argentina,Tren,Comunidad de Madrid,902
2019,6,Austria,Aeropuerto,Comunidad Valenciana,144106
2019,6,Austria,Carretera,Andalucía,4335
2019,6,Austria,Puerto,Canarias,897
2019,6,Austria,Tren,Cataluña,149
2019,6,Brasil,Aeropuerto,Comunidad de Madrid,48264
2019,6,Brasil,Carretera,Cataluña,13251
2019,6,Brasil,Puerto,Comunidad de Madrid,2274
2019,6,Brasil,Tren,Cataluña,1169
2019,6,Bélgica,Aeropuerto,Baleares,223889
2019,6,Bélgica,Carretera,Cataluña,30144
2019,6,Bélgica,Puerto,Baleares,3349
2019,6,Bélgica,Tren,Comunidad Valenciana,258
2019,6,Canadá,Aeropuerto,Cataluña,38203
2019,6,Canadá,Carretera,Baleares,2915
2019,6,Canadá,Puerto,Cataluña,2341
2019,6,Canadá,Tren,Cataluña,707
2019,6,China,Aeropuerto,Cataluña,71856
2019,6,China,Carretera,Andalucía,7690
2019,6,China,Puerto,Andalucía,2563
2019,6,China,Tren,Cataluña,579
