Anio,Mes,Pais,Medio_Acceso,Total_Turistas
2021,1,Países Bajos,Aeropuerto,147629
2021,2,Países Bajos,Aeropuerto,147629
2021,4,Países Bajos,Aeropuerto,147629
2021,6,Países Bajos,Aeropuerto,147629
2021,8,Países Bajos,Aeropuerto,147629
2021,5,Países Bajos,Aeropuerto,147629
2021,12,Países Bajos,Aeropuerto,147629
2021,11,Países Bajos,Aeropuerto,147629
2021,7,Países Bajos,Aeropuerto,147629
2021,3,Países Bajos,Aeropuerto,147629
2021,9,Países Bajos,Aeropuerto,147629
2021,10,Países Bajos,Aeropuerto,147629
2022,6,Austria,Aeropuerto,147047
2021,3,Alemania,Aeropuerto,146891
2019,3,Suecia,Aeropuerto,145868
2019,6,Austria,Aeropuerto,144106
2023,9,Austria,Aeropuerto,143470
2022,3,Bélgica,Aeropuerto,140988
2019,9,Austria,Aeropuerto,140648
2019,12,EE.UU.,Aeropuerto,140330
2022,9,Suecia,Aeropuerto,139360
2023,9,Suecia,Aeropuerto,139218
2023,10,Suecia,Aeropuerto,139218
2023,6,Suecia,Aeropuerto,139218
2019,7,Suiza,Aeropuerto,138300
2019,1,Suecia,Aeropuerto,137765
2023,4,Austria,Aeropuerto,137731
2022,6,Suiza,Aeropuerto,136921
2019,11,Bélgica,Aeropuerto,136090
2019,8,Austria,Aeropuerto,136036
2023,2,Bélgica,Aeropuerto,135363
2019,10,Dinamarca,Aeropuerto,135110
2019,2,EE.UU.,Aeropuerto,134358
2019,4,Suiza,Aeropuerto,133419
2021,3,Italia,Aeropuerto,132104
2021,9,Italia,Aeropuerto,132104
2021,2,Italia,Aeropuerto,132104
2021,8,Italia,Aeropuerto,132104
2021,6,Italia,Aeropuerto,132104
2021,7,Italia,Aeropuerto,132104
2021,12,Italia,Aeropuerto,132104
2021,4,Italia,Aeropuerto,132104
2021,5,Italia,Aeropuerto,132104
2021,11,Italia,Aeropuerto,132104
2021,1,Italia,Aeropuerto,132104
2021,10,Italia,Aeropuerto,132104
2023,7,Austria,Aeropuerto,131993
2023,5,Suecia,Aeropuerto,131029
2021,11,Bélgica,Aeropuerto,130824
2021,7,Dinamarca,Aeropuerto,130815
2022,3,EE.UU.,Aeropuerto,129798
2020,1,EE.UU.,Aeropuerto,129418
2022,8,Austria,Aeropuerto,129223
2021,7,Suiza,Aeropuerto,129203
2023,10,Dinamarca,Aeropuerto,128617
2020,7,Bélgica,Aeropuerto,128506
2023,1,EE.UU.,Aeropuerto,126377
2022,11,Bélgica,Aeropuerto,125806
2022,6,Suecia,Aeropuerto,125424
2019,1,EE.UU.,Aeropuerto,125401
2022,2,Polonia,Aeropuerto,123792
2022,9,Polonia,Aeropuerto,123792
2022,10,Polonia,Aeropuerto,123792
2022,4,Polonia,Aeropuerto,123792
2022,8,Polonia,Aeropuerto,123792
2022,12,Polonia,Aeropuerto,123792
2022,7,Polonia,Aeropuerto,123792
2022,6,Polonia,Aeropuerto,123792
2022,3,Polonia,Aeropuerto,123792
2022,11,Polonia,Aeropuerto,123792
2022,1,Polonia,Aeropuerto,123792
2022,5,Polonia,Aeropuerto,123792
2023,4,Suiza,Aeropuerto,121373
2023,1,Bélgica,Aeropuerto,121360
2022,10,Dinamarca,Aeropuerto,120911
2019,8,Noruega,Aeropuerto,120270
2019,2,Noruega,Aeropuerto,120270
2019,7,Noruega,Aeropuerto,120270
2019,6,Noruega,Aeropuerto,120270
2019,4,Noruega,Aeropuerto,120270
2019,1,Noruega,Aeropuerto,120270
2019,5,Noruega,Aeropuerto,120270
2019,10,Noruega,Aeropuerto,120270
2019,11,Noruega,Aeropuerto,120270
2019,3,Noruega,Aeropuerto,120270
2019,12,Noruega,Aeropuerto,120270
2019,9,Noruega,Aeropuerto,120270
2019,9,Dinamarca,Aeropuerto,119837
2021,9,Suecia,Aeropuerto,118997
2021,9,EE.UU.,Aeropuerto,118703
2022,10,Suecia,Aeropuerto,118456
2022,5,Suecia,Aeropuerto,118456
2022,9,Austria,Aeropuerto,117637
2021,8,Suiza,Aeropuerto,117457
2019,11,Suiza,Aeropuerto,117148
2023,2,EE.UU.,Aeropuerto,116400
2019,12,Bélgica,Aeropuerto,116335
2019,5,Rusia,Aeropuerto,116301
2023,11,Suecia,Aeropuerto,114650
2023,4,Suecia,Aeropuerto,114650
2022,9,Dinamarca,Aeropuerto,114194
2019,2,Bélgica,Aeropuerto,114140
2021,10,EE.UU.,Aeropuerto,113872
2022,2,Bélgica,Aeropuerto,112791
2022,12,Bélgica,Aeropuerto,112791
2021,10,Dinamarca,Aeropuerto,112562
2023,10,Austria,Aeropuerto,112481
2019,2,Suecia,Aeropuerto,111427
2019,3,Suiza,Aeropuerto,110640
2019,1,Bélgica,Aeropuerto,109749
2019,10,Austria,Aeropuerto,109521
2020,2,Bélgica,Aeropuerto,108782
2023,9,Noruega,Aeropuerto,108213
2023,4,Noruega,Aeropuerto,108213
2023,8,Noruega,Aeropuerto,108213
2023,3,Noruega,Aeropuerto,108213
2023,7,Noruega,Aeropuerto,108213
2023,5,Noruega,Aeropuerto,108213
2023,1,Noruega,Aeropuerto,108213
2023,6,Noruega,Aeropuerto,108213
2023,12,Noruega,Aeropuerto,108213
2023,10,Noruega,Aeropuerto,108213
2023,11,Noruega,Aeropuerto,108213
2023,2,Noruega,Aeropuerto,108213
2021,7,Suecia,Aeropuerto,108179
2021,10,Suecia,Aeropuerto,108179
2019,10,Rusia,Aeropuerto,107453
2021,7,EE.UU.,Aeropuerto,106971
2023,3,Suecia,Aeropuerto,106461
2023,8,Suecia,Aeropuerto,106461
2019,9,Polonia,Aeropuerto,106345
2019,2,Polonia,Aeropuerto,106345
2019,11,Polonia,Aeropuerto,106345
2019,8,Polonia,Aeropuerto,106345
2019,4,Polonia,Aeropuerto,106345
2019,5,Polonia,Aeropuerto,106345
2019,12,Polonia,Aeropuerto,106345
2019,3,Polonia,Aeropuerto,106345
2019,7,Polonia,Aeropuerto,106345
2019,1,Polonia,Aeropuerto,106345
2019,6,Polonia,Aeropuerto,106345
2019,10,Polonia,Aeropuerto,106345
2021,6,Bélgica,Aeropuerto,105905
2020,2,EE.UU.,Aeropuerto,104784
2022,11,Suecia,Aeropuerto,104520
2022,4,Suecia,Aeropuerto,104520
2022,1,Bélgica,Aeropuerto,104115
2019,5,Dinamarca,Aeropuerto,103388
2022,12,EE.UU.,Aeropuerto,102341
2022,4,Noruega,Aeropuerto,100469
2022,5,Noruega,Aeropuerto,100469
2022,1,Noruega,Aeropuerto,100469
2022,7,Noruega,Aeropuerto,100469
2022,12,Noruega,Aeropuerto,100469
2022,9,Noruega,Aeropuerto,100469
2022,11,Noruega,Aeropuerto,100469
2022,6,Noruega,Aeropuerto,100469
2022,10,Noruega,Aeropuerto,100469
2022,8,Noruega,Aeropuerto,100469
2022,3,Noruega,Aeropuerto,100469
2022,2,Noruega,Aeropuerto,100469
2019,7,Dinamarca,Aeropuerto,99864
2019,4,Dinamarca,Aeropuerto,99864
2022,5,Austria,Aeropuerto,99814
2020,9,Alemania,Aeropuerto,98898
2023,1,Suecia,Aeropuerto,98271
2021,8,EE.UU.,Aeropuerto,97999
2019,7,Austria,Aeropuerto,97993
2021,2,Alemania,Aeropuerto,97927
2021,1,Alemania,Aeropuerto,97927
2023,9,Dinamarca,Aeropuerto,97611
2023,3,Dinamarca,Aeropuerto,97611
2022,8,Suecia,Aeropuerto,97552
2021,8,Austria,Aeropuerto,97058
2020,8,Bélgica,Aeropuerto,96828
2019,6,Dinamarca,Aeropuerto,96339
2020,2,Dinamarca,Aeropuerto,95632
2023,11,Suiza,Aeropuerto,95365
2022,11,Dinamarca,Aeropuerto,95161
2019,5,Austria,Aeropuerto,94534
2020,1,Bélgica,Aeropuerto,94437
2023,4,Dinamarca,Aeropuerto,94166
2023,8,Dinamarca,Aeropuerto,94166
2021,9,Suiza,Aeropuerto,93966
2020,1,Suecia,Aeropuerto,93737
2022,5,Dinamarca,Aeropuerto,91803
2021,11,EE.UU.,Aeropuerto,91097
2022,7,Austria,Aeropuerto,90902
2021,11,Suecia,Aeropuerto,90149
2023,2,Suecia,Aeropuerto,90083
2019,12,Suiza,Aeropuerto,89488
2019,2,Suiza,Aeropuerto,89488
2023,7,República Checa,Aeropuerto,89328
2020,12,Alemania,Aeropuerto,87909
2020,10,Alemania,Aeropuerto,87909
2022,8,Dinamarca,Aeropuerto,87325
