Anio,Mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Viaje,Temperatura_Media,Precipitacion_Media,Destino_Principal,Medio_Acceso,Satisfaccion,Temperatura,Precipitacion,Fecha,Trimestre,Temporada
2019,7,Alemania,1227,Alta,Individual,28.8,14.2,Cataluña,Tren,8.63,28.8,14.2,7/1/2019,3,Alta
2019,8,Alemania,1187213,Alta,Paquete,27.8,13.4,Baleares,Aeropuerto,9.06,27.8,13.4,8/1/2019,3,Alta
2019,8,Alemania,57486,Alta,Paquete,28,17.8,Baleares,Carretera,9.11,28,17.8,8/1/2019,3,Alta
2019,8,Alemania,3749,Alta,Paquete,26.4,12.9,Andalucía,Puerto,9.01,26.4,12.9,8/1/2019,3,Alta
2019,8,Alemania,1250,Alta,Individual,27.3,10.5,Baleares,Tren,8.84,27.3,10.5,8/1/2019,3,Alta
2019,9,Alemania,1144813,Media-Alta,Individual,23.3,37.9,Baleares,Aeropuerto,8.56,23.3,37.9,9/1/2019,3,Media-Alta
2019,9,Alemania,55433,Media-Alta,Paquete,24.6,37.5,Baleares,Carretera,8.83,24.6,37.5,9/1/2019,3,Media-Alta
2019,9,Alemania,3615,Media-Alta,Paquete,22.6,38.4,Baleares,Puerto,8.74,22.6,38.4,9/1/2019,3,Media-Alta
2019,9,Alemania,1205,Media-Alta,Paquete,23.2,33.5,Comunidad Valenciana,Tren,8.8,23.2,33.5,9/1/2019,3,Media-Alta
2019,10,Alemania,996411,Media-Alta,Individual,21.6,49.7,Andalucía,Aeropuerto,8.06,21.6,49.7,10/1/2019,4,Media
2019,10,Alemania,48247,Media-Alta,Paquete,22,46.6,Baleares,Carretera,8.47,22,46.6,10/1/2019,4,Media
2019,10,Alemania,3147,Media-Alta,Paquete,20.8,43.7,Baleares,Puerto,8.69,20.8,43.7,10/1/2019,4,Media
2019,10,Alemania,1049,Media-Alta,Paquete,18.5,43.7,Cataluña,Tren,8.37,18.5,43.7,10/1/2019,4,Media
2019,11,Alemania,720808,Baja,Paquete,17.6,49.5,Baleares,Aeropuerto,8.36,17.6,49.5,11/1/2019,4,Baja
2019,11,Alemania,34902,Baja,Paquete,17.2,41.8,Comunidad Valenciana,Carretera,8.45,17.2,41.8,11/1/2019,4,Baja
2019,11,Alemania,2276,Baja,Individual,17.5,44,Comunidad Valenciana,Puerto,8.26,17.5,44,11/1/2019,4,Baja
2019,11,Alemania,759,Baja,Paquete,15.5,46.3,Canarias,Tren,8.33,15.5,46.3,11/1/2019,4,Baja
2019,12,Alemania,636007,Baja,Paquete,14.5,32.6,Baleares,Aeropuerto,8.61,14.5,32.6,12/1/2019,4,Baja
2019,12,Alemania,30796,Baja,Paquete,12.2,38.2,Baleares,Carretera,8.39,12.2,38.2,12/1/2019,4,Baja
2019,12,Alemania,2008,Baja,Individual,13.2,31.1,Canarias,Puerto,8.26,13.2,31.1,12/1/2019,4,Baja
2019,12,Alemania,669,Baja,Paquete,12.2,33.9,Canarias,Tren,8.5,12.2,33.9,12/1/2019,4,Baja
2020,1,Alemania,439546,Alta,Paquete,11,34.9,Baleares,Aeropuerto,8.49,11,34.9,1/1/2020,1,Baja
2020,1,Alemania,36828,Alta,Paquete,10.5,30.3,Baleares,Carretera,8.44,10.5,30.3,1/1/2020,1,Baja
2020,1,Alemania,1435,Alta,Individual,10.5,31.8,Canarias,Puerto,8.34,10.5,31.8,1/1/2020,1,Baja
2020,1,Alemania,478,Alta,Individual,13.4,38.8,Canarias,Tren,8.4,13.4,38.8,1/1/2020,1,Baja
2020,2,Alemania,406580,Alta,Individual,11.3,31.9,Baleares,Aeropuerto,8.45,11.3,31.9,2/1/2020,1,Baja
2020,2,Alemania,34066,Alta,Paquete,11,38.3,Baleares,Carretera,8.39,11,38.3,2/1/2020,1,Baja
2020,2,Alemania,1327,Alta,Individual,13.5,39.3,Canarias,Puerto,8.13,13.5,39.3,2/1/2020,1,Baja
2020,2,Alemania,442,Alta,Individual,11.8,32.7,Canarias,Tren,8.09,11.8,32.7,2/1/2020,1,Baja
2020,3,Alemania,230762,Media-Alta,Individual,13.3,38.2,Cataluña,Aeropuerto,8.32,13.3,38.2,3/1/2020,1,Baja
2020,3,Alemania,19335,Media-Alta,Individual,14.6,36.5,Andalucía,Carretera,8.39,14.6,36.5,3/1/2020,1,Baja
2020,3,Alemania,753,Media-Alta,Paquete,16,37.7,Canarias,Puerto,8.74,16,37.7,3/1/2020,1,Baja
2020,3,Alemania,251,Media-Alta,Paquete,13.2,32.7,Cataluña,Tren,8.45,13.2,32.7,3/1/2020,1,Baja
2020,4,Alemania,32966,Baja,Individual,16.3,44.8,Baleares,Aeropuerto,8.34,16.3,44.8,4/1/2020,2,Media
2020,4,Alemania,2762,Baja,Individual,15.2,45.3,Comunidad Valenciana,Carretera,8.44,15.2,45.3,4/1/2020,2,Media
2020,4,Alemania,108,Baja,Individual,16.2,47.2,Baleares,Puerto,8.23,16.2,47.2,4/1/2020,2,Media
2020,4,Alemania,36,Baja,Individual,15.2,45,Canarias,Tren,8.43,15.2,45,4/1/2020,2,Media
2020,5,Alemania,21977,Baja,Paquete,18.4,48.5,Baleares,Aeropuerto,8.38,18.4,48.5,5/1/2020,2,Media
2020,5,Alemania,1841,Baja,Individual,21.3,43.8,Canarias,Carretera,8.06,21.3,43.8,5/1/2020,2,Media
2020,5,Alemania,72,Baja,Individual,18.7,46.8,Canarias,Puerto,8.21,18.7,46.8,5/1/2020,2,Media
2020,5,Alemania,24,Baja,Individual,21.2,47.5,Canarias,Tren,8.21,21.2,47.5,5/1/2020,2,Media
2020,6,Alemania,43955,Baja,Individual,22.3,21.1,Andalucía,Aeropuerto,8.65,22.3,21.1,6/1/2020,2,Media-Alta
2020,6,Alemania,3683,Baja,Individual,23.1,28.9,Canarias,Carretera,8.44,23.1,28.9,6/1/2020,2,Media-Alta
2020,6,Alemania,143,Baja,Individual,22.6,22.3,Canarias,Puerto,8.6,22.6,22.3,6/1/2020,2,Media-Alta
2020,6,Alemania,48,Baja,Individual,24.7,26.5,Canarias,Tren,8.58,24.7,26.5,6/1/2020,2,Media-Alta
2020,7,Alemania,76920,Baja,Paquete,28.7,13.1,Canarias,Aeropuerto,9.12,28.7,13.1,7/1/2020,3,Alta
2020,7,Alemania,6445,Baja,Paquete,27,15.9,Canarias,Carretera,9,27,15.9,7/1/2020,3,Alta
2020,7,Alemania,251,Baja,Paquete,26.7,11.7,Canarias,Puerto,9.01,26.7,11.7,7/1/2020,3,Alta
2020,7,Alemania,84,Baja,Individual,27.8,13.1,Cataluña,Tren,8.81,27.8,13.1,7/1/2020,3,Alta
2020,8,Alemania,373614,Alta,Paquete,26.3,15.2,Canarias,Aeropuerto,8.92,26.3,15.2,8/1/2020,3,Alta
2020,8,Alemania,31304,Alta,Individual,27.4,13.8,Canarias,Carretera,8.71,27.4,13.8,8/1/2020,3,Alta
2020,8,Alemania,1220,Alta,Paquete,26.4,19.4,Cataluña,Puerto,9.01,26.4,19.4,8/1/2020,3,Alta
2020,8,Alemania,407,Alta,Paquete,25.2,18,Canarias,Tren,9.04,25.2,18,8/1/2020,3,Alta
2020,9,Alemania,98898,Baja,Paquete,25.2,35.9,Andalucía,Aeropuerto,8.86,25.2,35.9,9/1/2020,3,Media-Alta
2020,9,Alemania,8286,Baja,Paquete,22.5,38.8,Cataluña,Carretera,8.73,22.5,38.8,9/1/2020,3,Media-Alta
2020,9,Alemania,323,Baja,Individual,23.3,36,Canarias,Puerto,8.62,23.3,36,9/1/2020,3,Media-Alta
2020,9,Alemania,108,Baja,Paquete,22.1,38.6,Canarias,Tren,8.77,22.1,38.6,9/1/2020,3,Media-Alta
2020,10,Alemania,87909,Baja,Paquete,19.6,41,Comunidad Valenciana,Aeropuerto,8.35,19.6,41,10/1/2020,4,Media
2020,10,Alemania,7366,Baja,Individual,18.6,48.7,Baleares,Carretera,8.49,18.6,48.7,10/1/2020,4,Media
2020,10,Alemania,287,Baja,Individual,19.8,43.1,Canarias,Puerto,8.16,19.8,43.1,10/1/2020,4,Media
2020,10,Alemania,96,Baja,Individual,19.8,40.5,Baleares,Tren,8.38,19.8,40.5,10/1/2020,4,Media
2020,11,Alemania,76920,Baja,Individual,16.8,41.1,Baleares,Aeropuerto,8.06,16.8,41.1,11/1/2020,4,Baja
2020,11,Alemania,6445,Baja,Individual,15.9,41.5,Comunidad Valenciana,Carretera,8.07,15.9,41.5,11/1/2020,4,Baja
2020,11,Alemania,251,Baja,Paquete,14.1,47.9,Baleares,Puerto,8.42,14.1,47.9,11/1/2020,4,Baja
2020,11,Alemania,84,Baja,Individual,15.7,48.4,Baleares,Tren,8.26,15.7,48.4,11/1/2020,4,Baja
2020,12,Alemania,87909,Baja,Individual,12.4,31.6,Baleares,Aeropuerto,8.23,12.4,31.6,12/1/2020,4,Baja
2020,12,Alemania,7366,Baja,Individual,12.7,38.8,Baleares,Carretera,8.28,12.7,38.8,12/1/2020,4,Baja
2020,12,Alemania,287,Baja,Paquete,13.1,38.4,Canarias,Puerto,8.6,13.1,38.4,12/1/2020,4,Baja
2020,12,Alemania,96,Baja,Paquete,12.2,31.7,Baleares,Tren,8.56,12.2,31.7,12/1/2020,4,Baja
2021,1,Alemania,97927,Baja,Paquete,12.8,33.8,Comunidad Valenciana,Aeropuerto,8.71,12.8,33.8,1/1/2021,1,Baja
2021,1,Alemania,5834,Baja,Individual,13.7,33.7,Andalucía,Carretera,8.18,13.7,33.7,1/1/2021,1,Baja
2021,1,Alemania,208,Baja,Individual,12.9,34.2,Comunidad Valenciana,Puerto,8.1,12.9,34.2,1/1/2021,1,Baja
2021,1,Alemania,104,Baja,Paquete,12.6,33.1,Baleares,Tren,8.41,12.6,33.1,1/1/2021,1,Baja
2021,2,Alemania,97927,Baja,Individual,11.3,32,Baleares,Aeropuerto,8.23,11.3,32,2/1/2021,1,Baja
2021,2,Alemania,5834,Baja,Individual,11.9,31.4,Canarias,Carretera,8.35,11.9,31.4,2/1/2021,1,Baja
2021,2,Alemania,208,Baja,Individual,12.3,39.8,Baleares,Puerto,8.2,12.3,39.8,2/1/2021,1,Baja
2021,2,Alemania,104,Baja,Individual,11.9,36.8,Canarias,Tren,8.25,11.9,36.8,2/1/2021,1,Baja
2021,3,Alemania,146891,Baja,Individual,13.2,32,Baleares,Aeropuerto,8.05,13.2,32,3/1/2021,1,Baja
2021,3,Alemania,8751,Baja,Individual,14,30.9,Baleares,Carretera,8.28,14,30.9,3/1/2021,1,Baja
2021,3,Alemania,313,Baja,Individual,15.1,38.9,Baleares,Puerto,8.04,15.1,38.9,3/1/2021,1,Baja
2021,3,Alemania,156,Baja,Individual,16.2,37.7,Baleares,Tren,8.3,16.2,37.7,3/1/2021,1,Baja
2021,4,Alemania,171372,Baja,Paquete,18.2,43.2,Canarias,Aeropuerto,8.47,18.2,43.2,4/1/2021,2,Media
2021,4,Alemania,10209,Baja,Individual,17.1,45,Canarias,Carretera,8.19,17.1,45,4/1/2021,2,Media
2021,4,Alemania,365,Baja,Paquete,16.4,49.1,Baleares,Puerto,8.37,16.4,49.1,4/1/2021,2,Media
2021,4,Alemania,182,Baja,Paquete,18.7,41.5,Canarias,Tren,8.46,18.7,41.5,4/1/2021,2,Media
2021,5,Alemania,293782,Baja,Individual,18.2,48.5,Cataluña,Aeropuerto,8.29,18.2,48.5,5/1/2021,2,Media
2021,5,Alemania,17502,Baja,Individual,21,45.8,Baleares,Carretera,8.21,21,45.8,5/1/2021,2,Media
2021,5,Alemania,625,Baja,Paquete,18,48.3,Baleares,Puerto,8.3,18,48.3,5/1/2021,2,Media
2021,5,Alemania,313,Baja,Paquete,21.2,41.6,Cataluña,Tren,8.63,21.2,41.6,5/1/2021,2,Media
2021,6,Alemania,489636,Media-Alta,Individual,22.7,21.2,Baleares,Aeropuerto,8.53,22.7,21.2,6/1/2021,2,Media-Alta
2021,6,Alemania,29170,Media-Alta,Individual,25.1,28.4,Baleares,Carretera,8.61,25.1,28.4,6/1/2021,2,Media-Alta
2021,6,Alemania,1042,Media-Alta,Individual,23.1,24.7,Baleares,Puerto,8.44,23.1,24.7,6/1/2021,2,Media-Alta
2021,6,Alemania,521,Media-Alta,Individual,24.6,23.5,Baleares,Tren,8.54,24.6,23.5,6/1/2021,2,Media-Alta
2021,7,Alemania,661009,Alta,Paquete,28.2,18.6,Baleares,Aeropuerto,8.96,28.2,18.6,7/1/2021,3,Alta
2021,7,Alemania,39379,Alta,Individual,28.7,10.1,Baleares,Carretera,8.87,28.7,10.1,7/1/2021,3,Alta
2021,7,Alemania,1406,Alta,Individual,27.7,15.3,Baleares,Puerto,8.75,27.7,15.3,7/1/2021,3,Alta
2021,7,Alemania,703,Alta,Individual,25.7,11.6,Canarias,Tren,8.7,25.7,11.6,7/1/2021,3,Alta
2021,8,Alemania,612045,Alta,Individual,27.9,18.5,Cataluña,Aeropuerto,8.75,27.9,18.5,8/1/2021,3,Alta
2021,8,Alemania,36462,Alta,Paquete,27.9,16.7,Baleares,Carretera,9.1,27.9,16.7,8/1/2021,3,Alta
2021,8,Alemania,1302,Alta,Individual,25.9,16.2,Baleares,Puerto,8.62,25.9,16.2,8/1/2021,3,Alta
2021,8,Alemania,651,Alta,Individual,28.9,18.8,Baleares,Tren,8.88,28.9,18.8,8/1/2021,3,Alta
2021,9,Alemania,783418,Alta,Paquete,25.1,36.6,Baleares,Aeropuerto,8.9,25.1,36.6,9/1/2021,3,Media-Alta
2021,9,Alemania,46672,Alta,Individual,23,31.1,Canarias,Carretera,8.59,23,31.1,9/1/2021,3,Media-Alta
2021,9,Alemania,1667,Alta,Individual,24,37.4,Canarias,Puerto,8.5,24,37.4,9/1/2021,3,Media-Alta
2021,9,Alemania,833,Alta,Individual,22,39.9,Canarias,Tren,8.68,22,39.9,9/1/2021,3,Media-Alta
2021,10,Alemania,758936,Alta,Individual,19.6,43.7,Baleares,Aeropuerto,8.38,19.6,43.7,10/1/2021,4,Media
2021,10,Alemania,45213,Alta,Individual,20.8,43.4,Canarias,Carretera,8.35,20.8,43.4,10/1/2021,4,Media
2021,10,Alemania,1615,Alta,Individual,20.9,46.8,Baleares,Puerto,8.13,20.9,46.8,10/1/2021,4,Media
2021,10,Alemania,807,Alta,Paquete,19.3,41.1,Baleares,Tren,8.77,19.3,41.1,10/1/2021,4,Media
2021,11,Alemania,440672,Media-Alta,Paquete,17.7,40.5,Baleares,Aeropuerto,8.78,17.7,40.5,11/1/2021,4,Baja
2021,11,Alemania,26253,Media-Alta,Individual,17.3,47.7,Baleares,Carretera,8.47,17.3,47.7,11/1/2021,4,Baja
2021,11,Alemania,938,Media-Alta,Paquete,17.7,44.6,Andalucía,Puerto,8.53,17.7,44.6,11/1/2021,4,Baja
2021,11,Alemania,469,Media-Alta,Paquete,15.6,48,Baleares,Tren,8.69,15.6,48,11/1/2021,4,Baja
2021,12,Alemania,342746,Media,Paquete,14.7,37.5,Canarias,Aeropuerto,8.35,14.7,37.5,12/1/2021,4,Baja
2021,12,Alemania,20419,Media,Individual,12.1,39.4,Canarias,Carretera,8.34,12.1,39.4,12/1/2021,4,Baja
2021,12,Alemania,729,Media,Individual,12.7,33.6,Canarias,Puerto,8.07,12.7,33.6,12/1/2021,4,Baja
2021,12,Alemania,365,Media,Individual,12.9,39.4,Baleares,Tren,8.11,12.9,39.4,12/1/2021,4,Baja
2022,1,Alemania,278698,Baja,Individual,10.4,39.2,Canarias,Aeropuerto,8.31,10.4,39.2,1/1/2022,1,Baja
2022,1,Alemania,12895,Baja,Individual,10.5,30,Baleares,Carretera,8.25,10.5,30,1/1/2022,1,Baja
2022,1,Alemania,1172,Baja,Individual,13.7,31.5,Baleares,Puerto,8.11,13.7,31.5,1/1/2022,1,Baja
2022,1,Alemania,586,Baja,Paquete,13.2,31.7,Baleares,Tren,8.68,13.2,31.7,1/1/2022,1,Baja
2022,2,Alemania,371598,Baja,Paquete,11.1,39.9,Canarias,Aeropuerto,8.34,11.1,39.9,2/1/2022,1,Baja
2022,2,Alemania,17193,Baja,Paquete,12.2,31.4,Baleares,Carretera,8.42,12.2,31.4,2/1/2022,1,Baja
2022,2,Alemania,1563,Baja,Individual,14.4,32.8,Baleares,Puerto,8,14.4,32.8,2/1/2022,1,Baja
2022,2,Alemania,781,Baja,Individual,12.3,36.5,Cataluña,Tren,8.2,12.3,36.5,2/1/2022,1,Baja
2022,3,Alemania,464497,Baja,Paquete,14.7,36.4,Baleares,Aeropuerto,8.74,14.7,36.4,3/1/2022,1,Baja
2022,3,Alemania,21491,Baja,Individual,15.3,34.4,Canarias,Carretera,8.29,15.3,34.4,3/1/2022,1,Baja
2022,3,Alemania,1954,Baja,Individual,14.4,34.4,Baleares,Puerto,8.38,14.4,34.4,3/1/2022,1,Baja
2022,3,Alemania,977,Baja,Individual,16.9,36.6,Cataluña,Tren,8.44,16.9,36.6,3/1/2022,1,Baja
2022,4,Alemania,603846,Baja,Paquete,16,47.3,Baleares,Aeropuerto,8.65,16,47.3,4/1/2022,2,Media
2022,4,Alemania,27938,Baja,Individual,15.1,43.6,Baleares,Carretera,8.34,15.1,43.6,4/1/2022,2,Media
2022,4,Alemania,2540,Baja,Individual,18.8,46.3,Baleares,Puerto,8.25,18.8,46.3,4/1/2022,2,Media
2022,4,Alemania,1270,Baja,Individual,18.4,45.3,Canarias,Tren,8.12,18.4,45.3,4/1/2022,2,Media
2022,5,Alemania,928994,Media-Alta,Individual,18.4,40.5,Baleares,Aeropuerto,8.38,18.4,40.5,5/1/2022,2,Media
2022,5,Alemania,42982,Media-Alta,Individual,18.4,49.2,Baleares,Carretera,8.27,18.4,49.2,5/1/2022,2,Media
2022,5,Alemania,3907,Media-Alta,Paquete,18.2,46,Baleares,Puerto,8.68,18.2,46,5/1/2022,2,Media
2022,5,Alemania,1954,Media-Alta,Individual,19.4,49.3,Baleares,Tren,8.43,19.4,49.3,5/1/2022,2,Media
2022,6,Alemania,1068343,Alta,Individual,26,25.4,Baleares,Aeropuerto,8.57,26,25.4,6/1/2022,2,Media-Alta
2022,6,Alemania,49429,Alta,Individual,23,21.8,Baleares,Carretera,8.59,23,21.8,6/1/2022,2,Media-Alta
2022,6,Alemania,4494,Alta,Individual,24.3,23.8,Cataluña,Puerto,8.52,24.3,23.8,6/1/2022,2,Media-Alta
2022,6,Alemania,2247,Alta,Individual,23.2,22.6,Baleares,Tren,8.41,23.2,22.6,6/1/2022,2,Media-Alta
2022,7,Alemania,1114793,Alta,Individual,28.8,16.1,Andalucía,Aeropuerto,8.82,28.8,16.1,7/1/2022,3,Alta
2022,7,Alemania,51578,Alta,Individual,25.7,12,Canarias,Carretera,8.63,25.7,12,7/1/2022,3,Alta
2022,7,Alemania,4689,Alta,Individual,25.8,13.5,Baleares,Puerto,8.88,25.8,13.5,7/1/2022,3,Alta
2022,7,Alemania,2344,Alta,Paquete,25.1,10.2,Baleares,Tren,9.17,25.1,10.2,7/1/2022,3,Alta
2022,8,Alemania,1114793,Alta,Individual,27.3,12.1,Comunidad Valenciana,Aeropuerto,8.71,27.3,12.1,8/1/2022,3,Alta
2022,8,Alemania,51578,Alta,Paquete,25.7,19.1,Baleares,Carretera,8.89,25.7,19.1,8/1/2022,3,Alta
2022,8,Alemania,4689,Alta,Individual,27.2,10.9,Baleares,Puerto,8.87,27.2,10.9,8/1/2022,3,Alta
2022,8,Alemania,2344,Alta,Individual,25.8,15.7,Baleares,Tren,8.88,25.8,15.7,8/1/2022,3,Alta
2022,9,Alemania,1114793,Alta,Individual,26,30.4,Canarias,Aeropuerto,8.41,26,30.4,9/1/2022,3,Media-Alta
2022,9,Alemania,51578,Alta,Individual,24.1,33,Comunidad Valenciana,Carretera,8.61,24.1,33,9/1/2022,3,Media-Alta
2022,9,Alemania,4689,Alta,Paquete,25.3,35.4,Canarias,Puerto,8.82,25.3,35.4,9/1/2022,3,Media-Alta
2022,9,Alemania,2344,Alta,Paquete,24.7,34.3,Baleares,Tren,8.94,24.7,34.3,9/1/2022,3,Media-Alta
2022,10,Alemania,1021893,Alta,Individual,20.6,42.3,Cataluña,Aeropuerto,8.2,20.6,42.3,10/1/2022,4,Media
2022,10,Alemania,47280,Alta,Individual,19.3,42.5,Baleares,Carretera,8.26,19.3,42.5,10/1/2022,4,Media
2022,10,Alemania,4298,Alta,Individual,20.3,45.3,Baleares,Puerto,8.11,20.3,45.3,10/1/2022,4,Media
2022,10,Alemania,2149,Alta,Paquete,21.7,44.8,Andalucía,Tren,8.32,21.7,44.8,10/1/2022,4,Media
2022,11,Alemania,696745,Media,Individual,14.9,40.4,Baleares,Aeropuerto,8.29,14.9,40.4,11/1/2022,4,Baja
2022,11,Alemania,32236,Media,Individual,14.6,43.7,Andalucía,Carretera,8.22,14.6,43.7,11/1/2022,4,Baja
2022,11,Alemania,2931,Media,Paquete,17.4,49.9,Baleares,Puerto,8.73,17.4,49.9,11/1/2022,4,Baja
2022,11,Alemania,1465,Media,Paquete,15.6,43,Canarias,Tren,8.78,15.6,43,11/1/2022,4,Baja
2022,12,Alemania,510947,Baja,Individual,13.4,35.1,Baleares,Aeropuerto,8.43,13.4,35.1,12/1/2022,4,Baja
2022,12,Alemania,23640,Baja,Individual,12.2,36,Baleares,Carretera,8.05,12.2,36,12/1/2022,4,Baja
2022,12,Alemania,2149,Baja,Paquete,11.9,36.8,Baleares,Puerto,8.75,11.9,36.8,12/1/2022,4,Baja
2022,12,Alemania,1075,Baja,Individual,12.7,36,Baleares,Tren,8.47,12.7,36,12/1/2022,4,Baja
2023,1,Alemania,463874,Baja,Individual,13.8,37.1,Canarias,Aeropuerto,8.37,13.8,37.1,1/1/2023,1,Baja
2023,1,Alemania,26705,Baja,Individual,12.3,31.5,Baleares,Carretera,8.12,12.3,31.5,1/1/2023,1,Baja
2023,1,Alemania,3462,Baja,Individual,11.4,36.6,Baleares,Puerto,8.24,11.4,36.6,1/1/2023,1,Baja
2023,1,Alemania,495,Baja,Paquete,12.6,34.7,Baleares,Tren,8.79,12.6,34.7,1/1/2023,1,Baja
2023,2,Alemania,515415,Baja,Individual,12.5,30.3,Andalucía,Aeropuerto,8.28,12.5,30.3,2/1/2023,1,Baja
2023,2,Alemania,29672,Baja,Paquete,12,32.2,Baleares,Carretera,8.41,12,32.2,2/1/2023,1,Baja
2023,2,Alemania,3846,Baja,Individual,14.3,36,Baleares,Puerto,8.33,14.3,36,2/1/2023,1,Baja
2023,2,Alemania,549,Baja,Individual,12.2,30.6,Cataluña,Tren,8.42,12.2,30.6,2/1/2023,1,Baja
2023,3,Alemania,670040,Baja,Individual,14.9,37.8,Baleares,Aeropuerto,8.12,14.9,37.8,3/1/2023,1,Baja
2023,3,Alemania,38574,Baja,Paquete,14.7,34.8,Baleares,Carretera,8.47,14.7,34.8,3/1/2023,1,Baja
2023,3,Alemania,5000,Baja,Paquete,13.6,33.4,Comunidad Valenciana,Puerto,8.62,13.6,33.4,3/1/2023,1,Baja
2023,3,Alemania,714,Baja,Individual,14.3,35.4,Andalucía,Tren,8.11,14.3,35.4,3/1/2023,1,Baja
2023,4,Alemania,824664,Media,Paquete,17.5,47.7,Baleares,Aeropuerto,8.31,17.5,47.7,4/1/2023,2,Media
2023,4,Alemania,47475,Media,Paquete,17.6,44.3,Baleares,Carretera,8.34,17.6,44.3,4/1/2023,2,Media
2023,4,Alemania,6154,Media,Paquete,15.4,46.4,Baleares,Puerto,8.76,15.4,46.4,4/1/2023,2,Media
2023,4,Alemania,879,Media,Individual,16.7,48,Canarias,Tren,8.27,16.7,48,4/1/2023,2,Media
2023,5,Alemania,979289,Media-Alta,Paquete,20.2,49.9,Canarias,Aeropuerto,8.36,20.2,49.9,5/1/2023,2,Media
2023,5,Alemania,56377,Media-Alta,Individual,20.4,44.2,Baleares,Carretera,8.07,20.4,44.2,5/1/2023,2,Media
2023,5,Alemania,7308,Media-Alta,Paquete,20.5,43,Canarias,Puerto,8.49,20.5,43,5/1/2023,2,Media
