Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Viaje,Temperatura_Media,Precipitacion_Media,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,10,Alemania,48247,Media-Alta,Paquete,22.0,46.6,Baleares,Carretera,No disponible,No disponible,No disponible,8.47
2019,10,Alemania,3147,Media-Alta,Paquete,20.8,43.7,Baleares,Puerto,No disponible,No disponible,No disponible,8.69
2019,10,Alemania,1049,Media-Alta,Paquete,18.5,43.7,Cataluña,Tren,No disponible,No disponible,No disponible,8.37
2019,11,Alemania,720808,Baja,Paquete,17.6,49.5,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.36
2019,11,Alemania,34902,Baja,Paquete,17.2,41.8,Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,8.45
2019,11,Alemania,2276,Baja,Individual,17.5,44.0,Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,8.26
2019,11,Alemania,759,Baja,Paquete,15.5,46.3,Canarias,Tren,No disponible,No disponible,No disponible,8.33
2019,12,Alemania,636007,Baja,Paquete,14.5,32.6,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.61
2019,12,Alemania,30796,Baja,Paquete,12.2,38.2,Baleares,Carretera,No disponible,No disponible,No disponible,8.39
2019,12,Alemania,2008,Baja,Individual,13.2,31.1,Canarias,Puerto,No disponible,No disponible,No disponible,8.26
2019,12,Alemania,669,Baja,Paquete,12.2,33.9,Canarias,Tren,No disponible,No disponible,No disponible,8.5
2020,1,Alemania,439546,Alta,Paquete,11.0,34.9,Baleares,Aeropuerto,29242,5066063,3215497,8.49
2020,1,Alemania,36828,Alta,Paquete,10.5,30.3,Baleares,Carretera,29242,5066063,3215497,8.44
2020,1,Alemania,1435,Alta,Individual,10.5,31.8,Canarias,Puerto,29242,5066063,3215497,8.34
2020,1,Alemania,478,Alta,Individual,13.4,38.8,Canarias,Tren,29242,5066063,3215497,8.4
2020,2,Alemania,406580,Alta,Individual,11.3,31.9,Baleares,Aeropuerto,29242,5066063,3215497,8.45
2020,2,Alemania,34066,Alta,Paquete,11.0,38.3,Baleares,Carretera,29242,5066063,3215497,8.39
2020,2,Alemania,1327,Alta,Individual,13.5,39.3,Canarias,Puerto,29242,5066063,3215497,8.13
2020,2,Alemania,442,Alta,Individual,11.8,32.7,Canarias,Tren,29242,5066063,3215497,8.09
2020,3,Alemania,230762,Media-Alta,Individual,13.3,38.2,Cataluña,Aeropuerto,29242,5066063,3215497,8.32
2020,3,Alemania,19335,Media-Alta,Individual,14.6,36.5,Andalucía,Carretera,29242,5066063,3215497,8.39
2020,3,Alemania,753,Media-Alta,Paquete,16.0,37.7,Canarias,Puerto,29242,5066063,3215497,8.74
2020,3,Alemania,251,Media-Alta,Paquete,13.2,32.7,Cataluña,Tren,29242,5066063,3215497,8.45
2020,4,Alemania,32966,Baja,Individual,16.3,44.8,Baleares,Aeropuerto,29242,5066063,3215497,8.34
2020,4,Alemania,2762,Baja,Individual,15.2,45.3,Comunidad Valenciana,Carretera,29242,5066063,3215497,8.44
2020,4,Alemania,108,Baja,Individual,16.2,47.2,Baleares,Puerto,29242,5066063,3215497,8.23
2020,4,Alemania,36,Baja,Individual,15.2,45.0,Canarias,Tren,29242,5066063,3215497,8.43
2020,5,Alemania,21977,Baja,Paquete,18.4,48.5,Baleares,Aeropuerto,29242,5066063,3215497,8.38
2020,5,Alemania,1841,Baja,Individual,21.3,43.8,Canarias,Carretera,29242,5066063,3215497,8.06
2020,5,Alemania,72,Baja,Individual,18.7,46.8,Canarias,Puerto,29242,5066063,3215497,8.21
2020,5,Alemania,24,Baja,Individual,21.2,47.5,Canarias,Tren,29242,5066063,3215497,8.21
2020,6,Alemania,43955,Baja,Individual,22.3,21.1,Andalucía,Aeropuerto,29242,5066063,3215497,8.65
2020,6,Alemania,3683,Baja,Individual,23.1,28.9,Canarias,Carretera,29242,5066063,3215497,8.44
2020,6,Alemania,143,Baja,Individual,22.6,22.3,Canarias,Puerto,29242,5066063,3215497,8.6
2020,6,Alemania,48,Baja,Individual,24.7,26.5,Canarias,Tren,29242,5066063,3215497,8.58
2020,7,Alemania,76920,Baja,Paquete,28.7,13.1,Canarias,Aeropuerto,29242,5066063,3215497,9.12
2020,7,Alemania,6445,Baja,Paquete,27.0,15.9,Canarias,Carretera,29242,5066063,3215497,9.0
2020,7,Alemania,251,Baja,Paquete,26.7,11.7,Canarias,Puerto,29242,5066063,3215497,9.01
2020,7,Alemania,84,Baja,Individual,27.8,13.1,Cataluña,Tren,29242,5066063,3215497,8.81
2020,8,Alemania,373614,Alta,Paquete,26.3,15.2,Canarias,Aeropuerto,29242,5066063,3215497,8.92
2020,8,Alemania,31304,Alta,Individual,27.4,13.8,Canarias,Carretera,29242,5066063,3215497,8.71
2020,8,Alemania,1220,Alta,Paquete,26.4,19.4,Cataluña,Puerto,29242,5066063,3215497,9.01
2020,8,Alemania,407,Alta,Paquete,25.2,18.0,Canarias,Tren,29242,5066063,3215497,9.04
2020,9,Alemania,98898,Baja,Paquete,25.2,35.9,Andalucía,Aeropuerto,29242,5066063,3215497,8.86
2020,9,Alemania,8286,Baja,Paquete,22.5,38.8,Cataluña,Carretera,29242,5066063,3215497,8.73
2020,9,Alemania,323,Baja,Individual,23.3,36.0,Canarias,Puerto,29242,5066063,3215497,8.62
2020,9,Alemania,108,Baja,Paquete,22.1,38.6,Canarias,Tren,29242,5066063,3215497,8.77
2020,10,Alemania,87909,Baja,Paquete,19.6,41.0,Comunidad Valenciana,Aeropuerto,29242,5066063,3215497,8.35
2020,10,Alemania,7366,Baja,Individual,18.6,48.7,Baleares,Carretera,29242,5066063,3215497,8.49
2020,10,Alemania,287,Baja,Individual,19.8,43.1,Canarias,Puerto,29242,5066063,3215497,8.16
2020,10,Alemania,96,Baja,Individual,19.8,40.5,Baleares,Tren,29242,5066063,3215497,8.38
2020,11,Alemania,76920,Baja,Individual,16.8,41.1,Baleares,Aeropuerto,29242,5066063,3215497,8.06
2020,11,Alemania,6445,Baja,Individual,15.9,41.5,Comunidad Valenciana,Carretera,29242,5066063,3215497,8.07
2020,11,Alemania,251,Baja,Paquete,14.1,47.9,Baleares,Puerto,29242,5066063,3215497,8.42
2020,11,Alemania,84,Baja,Individual,15.7,48.4,Baleares,Tren,29242,5066063,3215497,8.26
2020,12,Alemania,87909,Baja,Individual,12.4,31.6,Baleares,Aeropuerto,29242,5066063,3215497,8.23
2020,12,Alemania,7366,Baja,Individual,12.7,38.8,Baleares,Carretera,29242,5066063,3215497,8.28
2020,12,Alemania,287,Baja,Paquete,13.1,38.4,Canarias,Puerto,29242,5066063,3215497,8.6
2020,12,Alemania,96,Baja,Paquete,12.2,31.7,Baleares,Tren,29242,5066063,3215497,8.56
2021,1,Alemania,97927,Baja,Paquete,12.8,33.8,Comunidad Valenciana,Aeropuerto,49048,8444068,6313977,8.71
2021,1,Alemania,5834,Baja,Individual,13.7,33.7,Andalucía,Carretera,49048,8444068,6313977,8.18
2021,1,Alemania,208,Baja,Individual,12.9,34.2,Comunidad Valenciana,Puerto,49048,8444068,6313977,8.1
2021,1,Alemania,104,Baja,Paquete,12.6,33.1,Baleares,Tren,49048,8444068,6313977,8.41
2021,2,Alemania,97927,Baja,Individual,11.3,32.0,Baleares,Aeropuerto,49048,8444068,6313977,8.23
2021,2,Alemania,5834,Baja,Individual,11.9,31.4,Canarias,Carretera,49048,8444068,6313977,8.35
2021,2,Alemania,208,Baja,Individual,12.3,39.8,Baleares,Puerto,49048,8444068,6313977,8.2
2021,2,Alemania,104,Baja,Individual,11.9,36.8,Canarias,Tren,49048,8444068,6313977,8.25
2021,3,Alemania,146891,Baja,Individual,13.2,32.0,Baleares,Aeropuerto,49048,8444068,6313977,8.05
2021,3,Alemania,8751,Baja,Individual,14.0,30.9,Baleares,Carretera,49048,8444068,6313977,8.28
2021,3,Alemania,313,Baja,Individual,15.1,38.9,Baleares,Puerto,49048,8444068,6313977,8.04
2021,3,Alemania,156,Baja,Individual,16.2,37.7,Baleares,Tren,49048,8444068,6313977,8.3
2021,4,Alemania,171372,Baja,Paquete,18.2,43.2,Canarias,Aeropuerto,49048,8444068,6313977,8.47
2021,4,Alemania,10209,Baja,Individual,17.1,45.0,Canarias,Carretera,49048,8444068,6313977,8.19
2021,4,Alemania,365,Baja,Paquete,16.4,49.1,Baleares,Puerto,49048,8444068,6313977,8.37
2021,4,Alemania,182,Baja,Paquete,18.7,41.5,Canarias,Tren,49048,8444068,6313977,8.46
2021,5,Alemania,293782,Baja,Individual,18.2,48.5,Cataluña,Aeropuerto,49048,8444068,6313977,8.29
2021,5,Alemania,17502,Baja,Individual,21.0,45.8,Baleares,Carretera,49048,8444068,6313977,8.21
2021,5,Alemania,625,Baja,Paquete,18.0,48.3,Baleares,Puerto,49048,8444068,6313977,8.3
2021,5,Alemania,313,Baja,Paquete,21.2,41.6,Cataluña,Tren,49048,8444068,6313977,8.63
2021,6,Alemania,489636,Media-Alta,Individual,22.7,21.2,Baleares,Aeropuerto,49048,8444068,6313977,8.53
2021,6,Alemania,29170,Media-Alta,Individual,25.1,28.4,Baleares,Carretera,49048,8444068,6313977,8.61
2021,6,Alemania,1042,Media-Alta,Individual,23.1,24.7,Baleares,Puerto,49048,8444068,6313977,8.44
2021,6,Alemania,521,Media-Alta,Individual,24.6,23.5,Baleares,Tren,49048,8444068,6313977,8.54
2021,7,Alemania,661009,Alta,Paquete,28.2,18.6,Baleares,Aeropuerto,49048,8444068,6313977,8.96
2021,7,Alemania,39379,Alta,Individual,28.7,10.1,Baleares,Carretera,49048,8444068,6313977,8.87
2021,7,Alemania,1406,Alta,Individual,27.7,15.3,Baleares,Puerto,49048,8444068,6313977,8.75
2021,7,Alemania,703,Alta,Individual,25.7,11.6,Canarias,Tren,49048,8444068,6313977,8.7
2021,8,Alemania,612045,Alta,Individual,27.9,18.5,Cataluña,Aeropuerto,49048,8444068,6313977,8.75
2021,8,Alemania,36462,Alta,Paquete,27.9,16.7,Baleares,Carretera,49048,8444068,6313977,9.1
2021,8,Alemania,1302,Alta,Individual,25.9,16.2,Baleares,Puerto,49048,8444068,6313977,8.62
2021,8,Alemania,651,Alta,Individual,28.9,18.8,Baleares,Tren,49048,8444068,6313977,8.88
2021,9,Alemania,783418,Alta,Paquete,25.1,36.6,Baleares,Aeropuerto,49048,8444068,6313977,8.9
2021,9,Alemania,46672,Alta,Individual,23.0,31.1,Canarias,Carretera,49048,8444068,6313977,8.59
2021,9,Alemania,1667,Alta,Individual,24.0,37.4,Canarias,Puerto,49048,8444068,6313977,8.5
2021,9,Alemania,833,Alta,Individual,22.0,39.9,Canarias,Tren,49048,8444068,6313977,8.68
2021,10,Alemania,758936,Alta,Individual,19.6,43.7,Baleares,Aeropuerto,49048,8444068,6313977,8.38
2021,10,Alemania,45213,Alta,Individual,20.8,43.4,Canarias,Carretera,49048,8444068,6313977,8.35
2021,10,Alemania,1615,Alta,Individual,20.9,46.8,Baleares,Puerto,49048,8444068,6313977,8.13
2021,10,Alemania,807,Alta,Paquete,19.3,41.1,Baleares,Tren,49048,8444068,6313977,8.77
2021,11,Alemania,440672,Media-Alta,Paquete,17.7,40.5,Baleares,Aeropuerto,49048,8444068,6313977,8.78
2021,11,Alemania,26253,Media-Alta,Individual,17.3,47.7,Baleares,Carretera,49048,8444068,6313977,8.47
2021,11,Alemania,938,Media-Alta,Paquete,17.7,44.6,Andalucía,Puerto,49048,8444068,6313977,8.53
2021,11,Alemania,469,Media-Alta,Paquete,15.6,48.0,Baleares,Tren,49048,8444068,6313977,8.69
2021,12,Alemania,342746,Media,Paquete,14.7,37.5,Canarias,Aeropuerto,49048,8444068,6313977,8.35
2021,12,Alemania,20419,Media,Individual,12.1,39.4,Canarias,Carretera,49048,8444068,6313977,8.34
2021,12,Alemania,729,Media,Individual,12.7,33.6,Canarias,Puerto,49048,8444068,6313977,8.07
2021,12,Alemania,365,Media,Individual,12.9,39.4,Baleares,Tren,49048,8444068,6313977,8.11
2022,1,Alemania,278698,Baja,Individual,10.4,39.2,Canarias,Aeropuerto,78398,14011945,11927295,8.31
2022,1,Alemania,12895,Baja,Individual,10.5,30.0,Baleares,Carretera,78398,14011945,11927295,8.25
2022,1,Alemania,1172,Baja,Individual,13.7,31.5,Baleares,Puerto,78398,14011945,11927295,8.11
2022,1,Alemania,586,Baja,Paquete,13.2,31.7,Baleares,Tren,78398,14011945,11927295,8.68
2022,2,Alemania,371598,Baja,Paquete,11.1,39.9,Canarias,Aeropuerto,78398,14011945,11927295,8.34
2022,2,Alemania,17193,Baja,Paquete,12.2,31.4,Baleares,Carretera,78398,14011945,11927295,8.42
2022,2,Alemania,1563,Baja,Individual,14.4,32.8,Baleares,Puerto,78398,14011945,11927295,8.0
2022,2,Alemania,781,Baja,Individual,12.3,36.5,Cataluña,Tren,78398,14011945,11927295,8.2
2022,3,Alemania,464497,Baja,Paquete,14.7,36.4,Baleares,Aeropuerto,78398,14011945,11927295,8.74
2022,3,Alemania,21491,Baja,Individual,15.3,34.4,Canarias,Carretera,78398,14011945,11927295,8.29
2022,3,Alemania,1954,Baja,Individual,14.4,34.4,Baleares,Puerto,78398,14011945,11927295,8.38
2022,3,Alemania,977,Baja,Individual,16.9,36.6,Cataluña,Tren,78398,14011945,11927295,8.44
2022,4,Alemania,603846,Baja,Paquete,16.0,47.3,Baleares,Aeropuerto,78398,14011945,11927295,8.65
2022,4,Alemania,27938,Baja,Individual,15.1,43.6,Baleares,Carretera,78398,14011945,11927295,8.34
2022,4,Alemania,2540,Baja,Individual,18.8,46.3,Baleares,Puerto,78398,14011945,11927295,8.25
2022,4,Alemania,1270,Baja,Individual,18.4,45.3,Canarias,Tren,78398,14011945,11927295,8.12
2022,5,Alemania,928994,Media-Alta,Individual,18.4,40.5,Baleares,Aeropuerto,78398,14011945,11927295,8.38
2022,5,Alemania,42982,Media-Alta,Individual,18.4,49.2,Baleares,Carretera,78398,14011945,11927295,8.27
2022,5,Alemania,3907,Media-Alta,Paquete,18.2,46.0,Baleares,Puerto,78398,14011945,11927295,8.68
2022,5,Alemania,1954,Media-Alta,Individual,19.4,49.3,Baleares,Tren,78398,14011945,11927295,8.43
2022,6,Alemania,1068343,Alta,Individual,26.0,25.4,Baleares,Aeropuerto,78398,14011945,11927295,8.57
2022,6,Alemania,49429,Alta,Individual,23.0,21.8,Baleares,Carretera,78398,14011945,11927295,8.59
2022,6,Alemania,4494,Alta,Individual,24.3,23.8,Cataluña,Puerto,78398,14011945,11927295,8.52
2022,6,Alemania,2247,Alta,Individual,23.2,22.6,Baleares,Tren,78398,14011945,11927295,8.41
2022,7,Alemania,1114793,Alta,Individual,28.8,16.1,Andalucía,Aeropuerto,78398,14011945,11927295,8.82
2022,7,Alemania,51578,Alta,Individual,25.7,12.0,Canarias,Carretera,78398,14011945,11927295,8.63
2022,7,Alemania,4689,Alta,Individual,25.8,13.5,Baleares,Puerto,78398,14011945,11927295,8.88
2022,7,Alemania,2344,Alta,Paquete,25.1,10.2,Baleares,Tren,78398,14011945,11927295,9.17
2022,8,Alemania,1114793,Alta,Individual,27.3,12.1,Comunidad Valenciana,Aeropuerto,78398,14011945,11927295,8.71
2022,8,Alemania,51578,Alta,Paquete,25.7,19.1,Baleares,Carretera,78398,14011945,11927295,8.89
2022,8,Alemania,4689,Alta,Individual,27.2,10.9,Baleares,Puerto,78398,14011945,11927295,8.87
2022,8,Alemania,2344,Alta,Individual,25.8,15.7,Baleares,Tren,78398,14011945,11927295,8.88
2022,9,Alemania,1114793,Alta,Individual,26.0,30.4,Canarias,Aeropuerto,78398,14011945,11927295,8.41
2022,9,Alemania,51578,Alta,Individual,24.1,33.0,Comunidad Valenciana,Carretera,78398,14011945,11927295,8.61
2022,9,Alemania,4689,Alta,Paquete,25.3,35.4,Canarias,Puerto,78398,14011945,11927295,8.82
2022,9,Alemania,2344,Alta,Paquete,24.7,34.3,Baleares,Tren,78398,14011945,11927295,8.94
2022,10,Alemania,1021893,Alta,Individual,20.6,42.3,Cataluña,Aeropuerto,78398,14011945,11927295,8.2
2022,10,Alemania,47280,Alta,Individual,19.3,42.5,Baleares,Carretera,78398,14011945,11927295,8.26
2022,10,Alemania,4298,Alta,Individual,20.3,45.3,Baleares,Puerto,78398,14011945,11927295,8.11
2022,10,Alemania,2149,Alta,Paquete,21.7,44.8,Andalucía,Tren,78398,14011945,11927295,8.32
2022,11,Alemania,696745,Media,Individual,14.9,40.4,Baleares,Aeropuerto,78398,14011945,11927295,8.29
2022,11,Alemania,32236,Media,Individual,14.6,43.7,Andalucía,Carretera,78398,14011945,11927295,8.22
2022,11,Alemania,2931,Media,Paquete,17.4,49.9,Baleares,Puerto,78398,14011945,11927295,8.73
2022,11,Alemania,1465,Media,Paquete,15.6,43.0,Canarias,Tren,78398,14011945,11927295,8.78
2022,12,Alemania,510947,Baja,Individual,13.4,35.1,Baleares,Aeropuerto,78398,14011945,11927295,8.43
2022,12,Alemania,23640,Baja,Individual,12.2,36.0,Baleares,Carretera,78398,14011945,11927295,8.05
2022,12,Alemania,2149,Baja,Paquete,11.9,36.8,Baleares,Puerto,78398,14011945,11927295,8.75
2022,12,Alemania,1075,Baja,Individual,12.7,36.0,Baleares,Tren,78398,14011945,11927295,8.47
2023,1,Alemania,463874,Baja,Individual,13.8,37.1,Canarias,Aeropuerto,82730,14954324,13294464,8.37
2023,1,Alemania,26705,Baja,Individual,12.3,31.5,Baleares,Carretera,82730,14954324,13294464,8.12
2023,1,Alemania,3462,Baja,Individual,11.4,36.6,Baleares,Puerto,82730,14954324,13294464,8.24
2023,1,Alemania,495,Baja,Paquete,12.6,34.7,Baleares,Tren,82730,14954324,13294464,8.79
2023,2,Alemania,515415,Baja,Individual,12.5,30.3,Andalucía,Aeropuerto,82730,14954324,13294464,8.28
2023,2,Alemania,29672,Baja,Paquete,12.0,32.2,Baleares,Carretera,82730,14954324,13294464,8.41
2023,2,Alemania,3846,Baja,Individual,14.3,36.0,Baleares,Puerto,82730,14954324,13294464,8.33
2023,2,Alemania,549,Baja,Individual,12.2,30.6,Cataluña,Tren,82730,14954324,13294464,8.42
2023,3,Alemania,670040,Baja,Individual,14.9,37.8,Baleares,Aeropuerto,82730,14954324,13294464,8.12
2023,3,Alemania,38574,Baja,Paquete,14.7,34.8,Baleares,Carretera,82730,14954324,13294464,8.47
2023,3,Alemania,5000,Baja,Paquete,13.6,33.4,Comunidad Valenciana,Puerto,82730,14954324,13294464,8.62
2023,3,Alemania,714,Baja,Individual,14.3,35.4,Andalucía,Tren,82730,14954324,13294464,8.11
2023,4,Alemania,824664,Media,Paquete,17.5,47.7,Baleares,Aeropuerto,82730,14954324,13294464,8.31
2023,4,Alemania,47475,Media,Paquete,17.6,44.3,Baleares,Carretera,82730,14954324,13294464,8.34
2023,4,Alemania,6154,Media,Paquete,15.4,46.4,Baleares,Puerto,82730,14954324,13294464,8.76
2023,4,Alemania,879,Media,Individual,16.7,48.0,Canarias,Tren,82730,14954324,13294464,8.27
2023,5,Alemania,979289,Media-Alta,Paquete,20.2,49.9,Canarias,Aeropuerto,82730,14954324,13294464,8.36
2023,5,Alemania,56377,Media-Alta,Individual,20.4,44.2,Baleares,Carretera,82730,14954324,13294464,8.07
2023,5,Alemania,7308,Media-Alta,Paquete,20.5,43.0,Canarias,Puerto,82730,14954324,13294464,8.49
2023,5,Alemania,1044,Media-Alta,Individual,21.3,42.6,Canarias,Tren,82730,14954324,13294464,8.08
2023,6,Alemania,1133913,Alta,Paquete,25.2,29.7,Canarias,Aeropuerto,82730,14954324,13294464,8.8
2023,6,Alemania,65279,Alta,Individual,25.8,24.7,Canarias,Carretera,82730,14954324,13294464,8.6
2023,6,Alemania,8462,Alta,Individual,25.7,20.5,Canarias,Puerto,82730,14954324,13294464,8.61
2023,6,Alemania,1209,Alta,Paquete,22.2,23.1,Baleares,Tren,82730,14954324,13294464,8.93
2023,7,Alemania,1185455,Alta,Individual,25.3,11.3,Comunidad Valenciana,Aeropuerto,82730,14954324,13294464,8.78
2023,7,Alemania,68246,Alta,Individual,27.1,16.2,Cataluña,Carretera,82730,14954324,13294464,8.74
2023,7,Alemania,8847,Alta,Individual,25.8,10.9,Canarias,Puerto,82730,14954324,13294464,8.55
2023,7,Alemania,1264,Alta,Paquete,28.3,16.5,Baleares,Tren,82730,14954324,13294464,8.96
2023,8,Alemania,1236996,Alta,Paquete,28.9,12.2,Baleares,Aeropuerto,82730,14954324,13294464,9.17
2023,8,Alemania,71213,Alta,Paquete,27.4,11.0,Canarias,Carretera,82730,14954324,13294464,8.89
2023,8,Alemania,9231,Alta,Individual,25.5,11.9,Baleares,Puerto,82730,14954324,13294464,8.8
2023,8,Alemania,1319,Alta,Paquete,26.6,16.2,Baleares,Tren,82730,14954324,13294464,9.17
2023,9,Alemania,1133913,Alta,Paquete,25.7,36.3,Baleares,Aeropuerto,82730,14954324,13294464,8.74
2023,9,Alemania,65279,Alta,Individual,24.3,32.0,Baleares,Carretera,82730,14954324,13294464,8.45
2023,9,Alemania,8462,Alta,Individual,22.3,36.0,Baleares,Puerto,82730,14954324,13294464,8.63
2023,9,Alemania,1209,Alta,Paquete,22.1,34.3,Baleares,Tren,82730,14954324,13294464,8.79
2023,10,Alemania,1030830,Media-Alta,Paquete,19.6,44.5,Andalucía,Aeropuerto,82730,14954324,13294464,8.43
2023,10,Alemania,59344,Media-Alta,Individual,21.2,46.4,Baleares,Carretera,82730,14954324,13294464,8.39
2023,10,Alemania,7693,Media-Alta,Individual,18.0,48.1,Canarias,Puerto,82730,14954324,13294464,8.17
2023,10,Alemania,1099,Media-Alta,Individual,19.3,49.6,Comunidad Valenciana,Tren,82730,14954324,13294464,8.49
2023,11,Alemania,618498,Baja,Paquete,15.3,46.2,Andalucía,Aeropuerto,82730,14954324,13294464,8.49
2023,11,Alemania,35607,Baja,Individual,15.4,43.2,Comunidad Valenciana,Carretera,82730,14954324,13294464,8.04
2023,11,Alemania,4616,Baja,Paquete,14.1,45.9,Andalucía,Puerto,82730,14954324,13294464,8.7
2023,11,Alemania,659,Baja,Paquete,17.2,47.2,Canarias,Tren,82730,14954324,13294464,8.77
2023,12,Alemania,515415,Baja,Individual,14.0,30.2,Baleares,Aeropuerto,82730,14954324,13294464,8.36
2023,12,Alemania,29672,Baja,Paquete,14.4,34.9,Canarias,Carretera,82730,14954324,13294464,8.58
2023,12,Alemania,3846,Baja,Individual,11.2,32.2,Baleares,Puerto,82730,14954324,13294464,8.05
2023,12,Alemania,549,Baja,Paquete,12.5,30.5,Andalucía,Tren,82730,14954324,13294464,8.64
2019,1,Argentina,43298,Media,Individual,7.1,55.8,Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,8.09
2019,1,Argentina,2205,Media,Individual,7.7,51.7,Cataluña,Carretera,No disponible,No disponible,No disponible,8.13
2019,1,Argentina,938,Media,Individual,7.0,56.9,Andalucía,Puerto,No disponible,No disponible,No disponible,8.22
